dataset,segment_selection_mode,llm_provider,llm_engine,temperature,top_k,max_iter,seed,chunk_size,n_repeats,avg_chunk_anomaly_density_mean,avg_chunk_anomaly_density_std,avg_chunk_anomaly_density_ci_low,avg_chunk_anomaly_density_ci_high,event_f1pa_mean,event_f1pa_std,event_f1pa_ci_low,event_f1pa_ci_high,max_chunk_anomaly_density_mean,max_chunk_anomaly_density_std,max_chunk_anomaly_density_ci_low,max_chunk_anomaly_density_ci_high,point_f1_mean,point_f1_std,point_f1_ci_low,point_f1_ci_high,point_f1_fixed_mean,point_f1_fixed_std,point_f1_fixed_ci_low,point_f1_fixed_ci_high,point_f1pa_mean,point_f1pa_std,point_f1pa_ci_low,point_f1pa_ci_high,precision_mean,precision_std,precision_ci_low,precision_ci_high,prompt_rows_mean,prompt_rows_std,prompt_rows_ci_low,prompt_rows_ci_high,recall_mean,recall_std,recall_ci_low,recall_ci_high,rule_num_conditions_mean,rule_num_conditions_std,rule_num_conditions_ci_low,rule_num_conditions_ci_high,rule_num_lines_mean,rule_num_lines_std,rule_num_lines_ci_low,rule_num_lines_ci_high,rule_num_thresholds_mean,rule_num_thresholds_std,rule_num_thresholds_ci_low,rule_num_thresholds_ci_high,runtime_sec_mean,runtime_sec_std,runtime_sec_ci_low,runtime_sec_ci_high,test_f1_mean,test_f1_std,test_f1_ci_low,test_f1_ci_high,token_count_detection_mean,token_count_detection_std,token_count_detection_ci_low,token_count_detection_ci_high,token_count_repair_mean,token_count_repair_std,token_count_repair_ci_low,token_count_repair_ci_high,token_count_review_mean,token_count_review_std,token_count_review_ci_low,token_count_review_ci_high,train_f1_mean,train_f1_std,train_f1_ci_low,train_f1_ci_high,train_val_gap_mean,train_val_gap_std,train_val_gap_ci_low,train_val_gap_ci_high,val_f1_mean,val_f1_std,val_f1_ci_low,val_f1_ci_high,val_test_gap_mean,val_test_gap_std,val_test_gap_ci_low,val_test_gap_ci_high
046ec29ddf80d62e,evidence,chatgpt-oauth,gpt-4-mini,0.75,1,,,100,2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,4.5,2.1213203435596424,3.0,6.0,38.5,6.363961030678928,34.0,43.0,24.0,1.4142135623730951,23.0,25.0,61.83787512779236,4.569096014343571,58.60703635215759,65.06871390342712,0.0,0.0,0.0,0.0,1842.0,45.254833995939045,1810.0,1874.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032012805122048814,0.0,0.032012805122048814,0.032012805122048814,0.032012805122048814,0.0,0.032012805122048814,0.032012805122048814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
046ec29ddf80d62e,evidence,chatgpt-oauth,gpt-4-mini,0.75,1,,,250,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,62.0,62.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,7.0,46.0,0.0,46.0,46.0,34.0,0.0,34.0,34.0,94.38552665710449,0.0,94.38552665710449,94.38552665710449,0.0,0.0,0.0,0.0,2081.0,0.0,2081.0,2081.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6702127659574468,0.0,0.6702127659574468,0.6702127659574468,0.6702127659574468,0.0,0.6702127659574468,0.6702127659574468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
046ec29ddf80d62e,evidence,chatgpt-oauth,gpt-4-mini,0.75,1,,,500,1,0.64,0.0,0.64,0.64,0.0,0.0,0.0,0.0,0.64,0.0,0.64,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,125.0,125.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,11.0,45.0,0.0,45.0,45.0,28.0,0.0,28.0,28.0,117.84674000740051,0.0,117.84674000740051,117.84674000740051,0.0,0.0,0.0,0.0,2660.0,0.0,2660.0,2660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19765929778933677,0.0,0.19765929778933677,0.19765929778933677,0.19765929778933677,0.0,0.19765929778933677,0.19765929778933677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
046ec29ddf80d62e,evidence,chatgpt-oauth,gpt-4-mini,0.75,1,,,1000,1,0.32,0.0,0.32,0.32,0.0,0.0,0.0,0.0,0.32,0.0,0.32,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,40.0,0.0,40.0,40.0,25.0,0.0,25.0,25.0,111.25098252296448,0.0,111.25098252296448,111.25098252296448,0.0,0.0,0.0,0.0,4145.0,0.0,4145.0,4145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032012805122048814,0.0,0.032012805122048814,0.032012805122048814,0.032012805122048814,0.0,0.032012805122048814,0.032012805122048814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
046ec29ddf80d62e,evidence,chatgpt-oauth,gpt-4-mini,0.75,1,,,2500,1,0.128,0.0,0.128,0.128,0.0,0.0,0.0,0.0,0.128,0.0,0.128,0.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0,0.0,625.0,625.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,7.0,41.0,0.0,41.0,41.0,38.0,0.0,38.0,38.0,111.58600330352783,0.0,111.58600330352783,111.58600330352783,0.0,0.0,0.0,0.0,8300.0,0.0,8300.0,8300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032012805122048814,0.0,0.032012805122048814,0.032012805122048814,0.032012805122048814,0.0,0.032012805122048814,0.032012805122048814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
046ec29ddf80d62e,evidence,chatgpt-oauth,gpt-4-mini,0.75,1,,,5000,1,0.064,0.0,0.064,0.064,0.0,0.0,0.0,0.0,0.064,0.0,0.064,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,0.0,1250.0,1250.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,9.0,48.0,0.0,48.0,48.0,30.0,0.0,30.0,30.0,207.5937511920929,0.0,207.5937511920929,207.5937511920929,0.0,0.0,0.0,0.0,15171.0,0.0,15171.0,15171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9875,0.0,0.9875,0.9875,0.9875,0.0,0.9875,0.9875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07927a9a18fa19ae,evidence,chatgpt-oauth,gpt-4-mini,0.75,1,,,100,3,1.0,0.0,1.0,1.0,0.0021459227467811115,0.0,0.0021459227467811115,0.0021459227467811115,1.0,0.0,1.0,1.0,0.014488379112586778,2.1245936804851847e-18,0.014488379112586778,0.014488379112586778,0.0,0.0,0.0,0.0,0.01909307875894986,0.0,0.01909307875894986,0.01909307875894986,0.001075268817204301,0.0,0.001075268817204301,0.001075268817204301,25.0,0.0,25.0,25.0,0.4999999999999998,0.0,0.4999999999999998,0.4999999999999998,5.333333333333333,0.5773502691896258,5.0,6.0,36.0,5.5677643628300215,31.0,42.0,25.666666666666668,4.725815626252608,22.0,31.0,24.659107446670532,10.884880393826876,15.683710813522339,36.76666879653931,0.014488379112586778,2.1245936804851847e-18,0.014488379112586778,0.014488379112586778,1612.0,38.118237105091836,1568.0,1635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4238262850909637,0.3567076097274989,0.023514253502979546,0.7079646017699114,0.38173444835626985,0.3567076097274989,-0.018577583231714337,0.6658727650352176,0.04209183673469388,0.0,0.04209183673469388,0.04209183673469388,0.027603457622107103,0.0,0.027603457622107103,0.027603457622107103
07927a9a18fa19ae,evidence,chatgpt-oauth,gpt-4-mini,0.75,1,,,250,3,0.435484,0.0,0.435484,0.435484,0.0021459227467811115,0.0,0.0021459227467811115,0.0021459227467811115,0.435484,0.0,0.435484,0.435484,0.014488379112586778,2.1245936804851847e-18,0.014488379112586778,0.014488379112586778,0.0,0.0,0.0,0.0,0.01909307875894986,0.0,0.01909307875894986,0.01909307875894986,0.001075268817204301,0.0,0.001075268817204301,0.001075268817204301,62.0,0.0,62.0,62.0,0.4999999999999998,0.0,0.4999999999999998,0.4999999999999998,8.666666666666666,2.8867513459481287,7.0,12.0,45.0,6.244997998398398,38.0,50.0,35.0,7.54983443527075,28.0,43.0,53.36361567179362,15.240934971957746,44.0944938659668,70.95381760597229,0.014488379112586778,2.1245936804851847e-18,0.014488379112586778,0.014488379112586778,2136.0,86.53323061113575,2040.0,2208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67296918767507,0.12443526361286318,0.5294117647058824,0.7500000000000001,0.6308773509403762,0.12443526361286318,0.48731992797118845,0.7079081632653063,0.04209183673469388,0.0,0.04209183673469388,0.04209183673469388,0.027603457622107103,0.0,0.027603457622107103,0.027603457622107103
07927a9a18fa19ae,evidence,chatgpt-oauth,gpt-4-mini,0.75,1,,,500,3,0.18400000000000002,3.3993498887762956e-17,0.18400000000000002,0.18400000000000002,0.22389263964211362,0.3834537242512816,0.0021459227467811115,0.6666666666666657,0.18400000000000002,3.3993498887762956e-17,0.18400000000000002,0.18400000000000002,0.14919380312932143,0.23331663845209324,0.014488379112586778,0.4186046511627907,0.13475152346934585,0.22227559656943033,0.0,0.3913043478260869,0.19754474152152576,0.3013322827248865,0.01909307875894986,0.545454545454545,0.33417068347546613,0.5766251310257986,0.001075268817204301,0.9999999999999988,125.0,0.0,125.0,125.0,0.4999999999999998,0.0,0.4999999999999998,0.4999999999999998,12.0,5.0,7.0,17.0,61.333333333333336,13.650396819628845,49.0,76.0,47.666666666666664,20.81665999466133,31.0,71.0,188.13162048657736,114.81333382848067,62.19832420349121,286.9828794002533,0.14919380312932143,0.23331663845209324,0.014488379112586778,0.4186046511627907,2971.0,222.1778566824336,2793.0,3220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4626242962581862,0.3897551510599271,0.030423004792665142,0.7874015748031495,0.18531199985722857,0.18151065232074523,-0.023268270375120095,0.3074015748031495,0.2773122964009576,0.21392390015469473,0.053691275167785234,0.48000000000000004,0.12811849327163624,0.30288709868865854,-0.12035903712770302,0.46551162088741327
07927a9a18fa19ae,evidence,chatgpt-oauth,gpt-4-mini,0.75,1,,,1000,3,0.108,0.0,0.108,0.108,0.0021459227467811115,0.0,0.0021459227467811115,0.0021459227467811115,0.108,0.0,0.108,0.108,0.014488379112586778,2.1245936804851847e-18,0.014488379112586778,0.014488379112586778,0.0,0.0,0.0,0.0,0.01909307875894986,0.0,0.01909307875894986,0.01909307875894986,0.001075268817204301,0.0,0.001075268817204301,0.001075268817204301,250.0,0.0,250.0,250.0,0.4999999999999998,0.0,0.4999999999999998,0.4999999999999998,8.333333333333334,0.5773502691896257,8.0,9.0,39.0,7.0,34.0,47.0,31.333333333333332,0.5773502691896258,31.0,32.0,65.9878609975179,27.977357782712495,48.80789661407471,98.27107357978821,0.014488379112586778,2.1245936804851847e-18,0.014488379112586778,0.014488379112586778,4125.333333333333,41.78915329763614,4089.0,4171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7249484232242853,0.02238802623672054,0.7068965517241379,0.7500000000000001,0.6828565864895914,0.02238802623672054,0.664804714989444,0.7079081632653063,0.04209183673469388,0.0,0.04209183673469388,0.04209183673469388,0.027603457622107103,0.0,0.027603457622107103,0.027603457622107103
