dataset,chunk_size,repeat_id,train_f1,val_f1,test_f1,precision,recall,point_f1,point_f1pa,event_f1pa,rule_num_lines,rule_num_conditions,rule_num_thresholds,prompt_rows,avg_chunk_anomaly_density,max_chunk_anomaly_density,train_val_gap,val_test_gap,runtime_sec,token_count_detection,token_count_repair,token_count_review
07927a9a18fa19ae,100,1,0.54,0.04209183673469388,0.01448837911258678,0.001075268817204301,0.4999999999999998,0.01448837911258678,0.01909307875894986,0.0021459227467811115,42,6,22,25,1.0,1.0,0.4979081632653062,0.027603457622107103,21.52694272994995,1633,0,0
07927a9a18fa19ae,100,2,0.023514253502979546,0.04209183673469388,0.01448837911258678,0.001075268817204301,0.4999999999999998,0.01448837911258678,0.01909307875894986,0.0021459227467811115,35,5,31,25,1.0,1.0,-0.018577583231714337,0.027603457622107103,36.76666879653931,1635,0,0
07927a9a18fa19ae,100,3,0.7079646017699115,0.04209183673469388,0.01448837911258678,0.001075268817204301,0.4999999999999998,0.01448837911258678,0.01909307875894986,0.0021459227467811115,31,5,24,25,1.0,1.0,0.6658727650352176,0.027603457622107103,15.683710813522339,1568,0,0
07927a9a18fa19ae,250,1,0.7394957983193277,0.04209183673469388,0.01448837911258678,0.001075268817204301,0.4999999999999998,0.01448837911258678,0.01909307875894986,0.0021459227467811115,50,12,34,62,0.435484,0.435484,0.6974039615846338,0.027603457622107103,70.95381760597229,2208,0,0
07927a9a18fa19ae,250,2,0.5294117647058824,0.04209183673469388,0.01448837911258678,0.001075268817204301,0.4999999999999998,0.01448837911258678,0.01909307875894986,0.0021459227467811115,47,7,43,62,0.435484,0.435484,0.4873199279711885,0.027603457622107103,44.0944938659668,2160,0,0
07927a9a18fa19ae,250,3,0.7500000000000001,0.04209183673469388,0.01448837911258678,0.001075268817204301,0.4999999999999998,0.01448837911258678,0.01909307875894986,0.0021459227467811115,38,7,28,62,0.435484,0.435484,0.7079081632653063,0.027603457622107103,45.04253554344177,2040,0,0
07927a9a18fa19ae,500,1,0.03042300479266514,0.053691275167785234,0.01448837911258678,0.0014367816091954023,0.4999999999999998,0.01448837911258678,0.028086600351082475,0.002865329512893977,59,12,41,125,0.184,0.184,-0.023268270375120095,0.03920289605519846,286.9828794002533,2900,0,0
07927a9a18fa19ae,500,2,0.5700483091787439,0.2982456140350877,0.4186046511627907,0.9999999999999989,0.4999999999999998,0.4186046511627907,0.545454545454545,0.6666666666666657,76,17,71,125,0.184,0.184,0.27180269514365624,-0.12035903712770302,215.21365785598755,3220,0,0
07927a9a18fa19ae,500,3,0.7874015748031495,0.48000000000000004,0.01448837911258678,0.001075268817204301,0.4999999999999998,0.01448837911258678,0.01909307875894986,0.0021459227467811115,49,7,31,125,0.184,0.184,0.3074015748031495,0.46551162088741327,62.19832420349121,2793,0,0
07927a9a18fa19ae,1000,1,0.7500000000000001,0.04209183673469388,0.01448837911258678,0.001075268817204301,0.4999999999999998,0.01448837911258678,0.01909307875894986,0.0021459227467811115,47,8,31,250,0.108,0.108,0.7079081632653063,0.027603457622107103,48.80789661407471,4171,0,0
07927a9a18fa19ae,1000,2,0.7068965517241379,0.04209183673469388,0.01448837911258678,0.001075268817204301,0.4999999999999998,0.01448837911258678,0.01909307875894986,0.0021459227467811115,34,8,31,250,0.108,0.108,0.664804714989444,0.027603457622107103,98.27107357978821,4116,0,0
07927a9a18fa19ae,1000,3,0.7179487179487178,0.04209183673469388,0.01448837911258678,0.001075268817204301,0.4999999999999998,0.01448837911258678,0.01909307875894986,0.0021459227467811115,36,9,32,250,0.108,0.108,0.675856881214024,0.027603457622107103,50.884612798690796,4089,0,0
07927a9a18fa19ae,2500,1,0.8550724637681159,0.6181818181818182,0.5294117647058825,0.9999999999999989,0.4999999999999998,0.5294117647058825,0.545454545454545,0.6666666666666657,39,7,35,625,0.0528,0.0528,0.2368906455862977,0.0887700534759357,57.144980907440186,8282,0,0
07927a9a18fa19ae,2500,2,0.8,0.6181818181818182,0.5294117647058825,0.9999999999999989,0.4999999999999998,0.5294117647058825,0.545454545454545,0.6666666666666657,33,4,28,625,0.0528,0.0528,0.18181818181818188,0.0887700534759357,105.16106486320496,8193,0,0
07927a9a18fa19ae,2500,3,0.8550724637681159,0.6181818181818182,0.5294117647058825,0.9999999999999989,0.4999999999999998,0.5294117647058825,0.545454545454545,0.6666666666666657,34,8,36,625,0.0528,0.0528,0.2368906455862977,0.0887700534759357,193.23295640945435,8243,0,0
07927a9a18fa19ae,5000,1,0.7868852459016392,0.4150943396226416,0.01448837911258678,0.001075268817204301,0.4999999999999998,0.01448837911258678,0.01909307875894986,0.0021459227467811115,83,17,91,2500,0.0228,0.0228,0.37179090627899763,0.4006059605100548,308.6287705898285,29420,0,0
07927a9a18fa19ae,5000,2,0.9503546099290779,0.5714285714285715,0.48484848484848486,0.9999999999999989,0.4999999999999998,0.48484848484848486,0.545454545454545,0.6666666666666657,75,16,78,2500,0.0228,0.0228,0.37892603850050643,0.08658008658008665,229.33199548721313,29295,0,0
07927a9a18fa19ae,5000,3,0.36231884057971014,0.22222222222222224,0.12499999999999999,0.037037037037037035,0.9999999999999996,0.12499999999999999,0.47999999999999954,0.07142857142857136,78,14,87,2500,0.0228,0.0228,0.1400966183574879,0.09722222222222225,208.76783728599548,29460,0,0
