condition,dataset,rows,mean_val_f1,mean_test_f1,mean_point_f1_fixed,mean_point_f1,mean_event_f1pa,mean_runtime_sec,mean_token_count_detection,mean_prompt_rows,std_val_f1,std_test_f1,std_point_f1_fixed,std_point_f1,std_event_f1pa,ci95_val_f1,ci95_test_f1,ci95_point_f1_fixed,ci95_point_f1,ci95_event_f1pa
anomaly_centered,88cf3a776ba00e7c,5,0.14625021294265642,0.11104161655039693,0.06577108296915551,0.06577108296915551,0.051929889032495014,837.144796180725,20081.6,625.0,0.03094528108001363,0.0,0.025529836084253178,0.025529836084253178,0.0731641612197757,0.02712473481447744,0.0,0.022377887984016322,0.022377887984016322,0.06413121489763558
anomaly_centered,9ee5879409dccef9,5,0.19532625268566126,0.395468724374585,0.3954287969383604,0.3954287969383604,0.10915089639525688,820.1768709659576,14125.6,310.0,0.04479023352536842,0.21028603425681147,0.21034469672014894,0.21034469672014894,0.09892940800436746,0.03926037070119902,0.18432383598829533,0.18437525590454937,0.18437525590454937,0.08671544945845835
event_bounded_reference,88cf3a776ba00e7c,5,0.10644894584539064,0.11104161655039693,0.009273622238903526,0.009273622238903526,0.39509803921568587,367.4647589683533,8113.2,15.0,0.0,0.0,0.010132829335738676,0.010132829335738676,0.15822022913440398,0.0,0.0,0.008881816518053361,0.008881816518053361,0.13868614560196704
event_bounded_reference,9ee5879409dccef9,5,0.1719544909853478,0.25895093349873133,0.25035007353007227,0.25035007353007227,0.1774135881389765,625.8291666984558,10948.2,155.0,0.004455226495286285,0.17784486553113324,0.18935518709204618,0.18935518709204618,0.1374441324916186,0.0039051782050583653,0.15588789784055387,0.16597713953016233,0.16597713953016233,0.12047509395702073
fixed,88cf3a776ba00e7c,5,0.17937711665031453,0.1521214715735843,0.11413209399631614,0.11413209399631614,0.0354852763585794,1383.3288561820984,21907.8,1250.0,0.07239649946317547,0.05662057759634693,0.08234752261805571,0.08234752261805571,0.027323646572650455,0.06345832970001346,0.04963012448884748,0.07218078607424822,0.07218078607424822,0.02395023220281322
fixed,9ee5879409dccef9,5,0.24396902976512566,0.41692575019826317,0.4062691042270353,0.4062691042270353,0.1986927085396299,956.0419101238251,21207.8,1250.0,0.06804370190329409,0.37309167171123164,0.38325510203728785,0.38325510203728785,0.13561843168260473,0.05964293441542698,0.3270292691958569,0.3359379086645655,0.3359379086645655,0.11887479663973242
random,88cf3a776ba00e7c,5,0.1503027065134562,0.19992655481229676,0.19002592380990968,0.19002592380990968,0.4274853801169586,603.3988600730896,21242.2,1250.0,0.044731811555883697,0.08764586178056692,0.10184278077992544,0.10184278077992544,0.1842540373749725,0.03920916158710129,0.07682498511605616,0.08926913328987675,0.08926913328987675,0.16150578465809634
random,9ee5879409dccef9,5,0.16996205312562412,0.2563913146845645,0.23902256578819384,0.23902256578819384,0.4807224958949091,626.8121428012848,21261.0,1250.0,0.0,0.32615406843013955,0.33929893530702165,0.33929893530702165,0.18105850106338814,0.0,0.2858866459139808,0.2974086297436031,0.2974086297436031,0.15870477358252588
