dataset,chunk_size,repeat_id,train_f1,val_f1,test_f1,precision,recall,point_f1,point_f1pa,event_f1pa,rule_num_lines,rule_num_conditions,rule_num_thresholds,prompt_rows,avg_chunk_anomaly_density,max_chunk_anomaly_density,train_val_gap,val_test_gap,runtime_sec,token_count_detection,token_count_repair,token_count_review
9ee5879409dccef9,100,1,0.06825488852579982,0.16996205312562412,0.07820299500831947,0.9999999999999996,0.14285714285714285,0.07820299500831947,0.0915448982140626,0.24999999999999975,52,9,43,100,,,-0.1017071645998243,0.09175905811730466,62.86937665939331,2554,0,0
9ee5879409dccef9,100,2,0.06825488852579982,0.16996205312562412,0.07820299500831947,0.4666666666666666,0.49999999999999994,0.07820299500831947,0.924716855429713,0.48275862068965464,52,9,67,100,,,-0.1017071645998243,0.09175905811730466,28.201305150985718,2660,0,0
9ee5879409dccef9,100,3,0.06825488852579982,0.16996205312562412,0.08323424494649227,0.5454545454545454,0.4285714285714285,0.08323424494649227,0.9058663028649381,0.4799999999999994,59,17,62,100,,,-0.1017071645998243,0.08672780817913185,37.73434066772461,2763,0,0
9ee5879409dccef9,250,1,0.18705035971223022,0.44231791600212655,0.42981539533263674,0.009615384615384616,0.07142857142857142,0.42981539533263674,0.5696784073506888,0.016949152542372677,61,11,42,250,,,-0.25526755628989634,0.012502520669489814,172.53137969970703,4083,0,0
9ee5879409dccef9,250,2,0.1978021978021978,0.23099133782483156,0.09869083585095668,0.09090909090909091,0.21428571428571425,0.09869083585095668,0.1473456121343443,0.12765957446808468,80,15,75,250,,,-0.03318914002263376,0.13230050197387488,81.60338759422302,4354,0,0
9ee5879409dccef9,250,3,0.21342383107088986,0.18295543393275995,0.6335260115606937,0.4999999999999999,0.14285714285714285,0.6335260115606937,0.7828418230562998,0.22222222222222185,35,6,35,250,,,0.030468397138129905,-0.45057057762793373,88.31992197036743,3847,0,0
9ee5879409dccef9,500,1,0.1850101282916948,0.16996205312562412,0.5268630849220104,0.818181818181818,0.6428571428571428,0.5268630849220104,0.956134774316592,0.7199999999999993,48,8,46,500,,,0.015048075166070679,-0.35690103179638627,38.16532325744629,6549,0,0
9ee5879409dccef9,500,2,0.06825488852579982,0.16996205312562412,0.18409090909090908,0.9999999999999998,0.5714285714285714,0.18409090909090908,0.9246298788694476,0.7272727272727267,41,6,39,500,,,-0.1017071645998243,-0.014128855965284959,31.08363938331604,6461,0,0
9ee5879409dccef9,500,3,0.06825488852579982,0.16996205312562412,0.07820299500831947,0.9999999999999998,0.3571428571428571,0.07820299500831947,0.0915448982140626,0.5263157894736837,45,10,30,500,,,-0.1017071645998243,0.09175905811730466,50.244057416915894,6421,0,0
9ee5879409dccef9,1000,1,0.06825488852579982,0.16996205312562412,0.07820299500831947,0.9999999999999999,0.4285714285714285,0.07820299500831947,0.9077238550922756,0.5999999999999994,57,10,44,1000,,,-0.1017071645998243,0.09175905811730466,48.96621584892273,11613,0,0
9ee5879409dccef9,1000,2,0.06825488852579982,0.16996205312562412,0.07820299500831947,0.9999999999999998,0.3571428571428571,0.07820299500831947,0.0915448982140626,0.5263157894736837,45,6,29,1000,,,-0.1017071645998243,0.09175905811730466,45.901607036590576,11429,0,0
9ee5879409dccef9,1000,3,0.0926470588235294,0.16996205312562412,0.834061135371179,0.8666666666666666,0.9285714285714285,0.834061135371179,0.9684481648422402,0.8965517241379304,45,12,51,1000,,,-0.07731499430209472,-0.6640990822455548,47.392483949661255,11517,0,0
9ee5879409dccef9,2500,1,0.25254146602461214,0.28959276018099545,0.07820299500831947,0.0449438202247191,0.2857142857142857,0.07820299500831947,0.09391304347826077,0.07766990291262112,64,11,57,2500,,,-0.03705129415638331,0.211389765172676,410.873494386673,26658,0,0
9ee5879409dccef9,2500,2,0.2773343974461293,0.38153310104529614,0.4195530726256984,0.012658227848101266,0.07142857142857142,0.4195530726256984,0.49641025641025593,0.021505376344085766,83,17,51,2500,,,-0.10419870359916683,-0.03801997158040227,244.77520895004272,26736,0,0
9ee5879409dccef9,2500,3,0.4136125654450261,0.2702702702702703,0.7107093184979139,0.1724137931034483,0.3571428571428571,0.7107093184979139,0.9151477058453797,0.23255813953488327,51,5,42,2500,,,0.14334229517475583,-0.44043904822764357,182.4399290084839,26554,0,0
9ee5879409dccef9,5000,1,0.22845953002610966,0.2128966223132037,0.9029754204398448,0.3235294117647059,0.7857142857142856,0.9029754204398448,0.9779681762545894,0.4583333333333329,70,6,50,5000,,,0.015562907712905971,-0.6900787981266411,127.88773083686829,51722,0,0
9ee5879409dccef9,5000,2,0.13965475905058738,0.2862957937584803,0.22565118912797283,0.002631578947368421,0.9285714285714285,0.22565118912797283,0.26830161054172735,0.005248284214775933,44,4,52,5000,,,-0.14664103470789291,0.06064460463050747,175.66041803359985,51563,0,0
9ee5879409dccef9,5000,3,0.07745309135650569,0.17184083952776563,0.08779950426879649,0.0008857395925597874,0.07142857142857142,0.08779950426879649,0.10358227937539734,0.0017497812773403084,74,7,67,5000,,,-0.09438774817125994,0.08404133525896915,212.07393312454224,51876,0,0
