dataset,chunk_size,repeat_id,train_f1,val_f1,test_f1,precision,recall,point_f1,point_f1_fixed,point_f1pa,affiliation_f1,event_f1pa,rule_num_lines,rule_num_conditions,rule_num_thresholds,prompt_rows,avg_chunk_anomaly_density,max_chunk_anomaly_density,train_val_gap,val_test_gap,runtime_sec,token_count_detection,token_count_repair,token_count_review
9ee5879409dccef9,100,1,0.12329579134558388,0.25499524262607043,0.07820299500831947,0.006472491909385114,0.14285714285714285,0.07820299500831947,0.040033361134278564,0.09292140151515142,,0.012383900928792485,38,4,33,25,1.0,1.0,-0.13169945128048655,0.17679224761775097,33.81773400306702,1631,0,0
9ee5879409dccef9,100,2,0.06825488852579982,0.16996205312562412,0.07820299500831947,0.0007575757575757576,0.9285714285714285,0.07820299500831947,0.0,0.0915448982140626,,0.0015139163852334909,55,8,38,25,1.0,1.0,-0.1017071645998243,0.09175905811730466,47.55266737937927,1811,0,0
9ee5879409dccef9,100,3,0.06825488852579982,0.16996205312562412,0.07820299500831947,0.0008103727714748784,0.07142857142857142,0.07820299500831947,0.0,0.0915448982140626,,0.0016025641025640806,46,5,51,25,1.0,1.0,-0.1017071645998243,0.09175905811730466,62.7549524307251,1853,0,0
9ee5879409dccef9,250,1,0.06825488852579982,0.16996205312562412,0.07820299500831947,0.0008103727714748784,0.07142857142857142,0.07820299500831947,0.0,0.0915448982140626,,0.0016025641025640806,53,7,45,62,1.0,1.0,-0.1017071645998243,0.09175905811730466,45.476179361343384,2169,0,0
9ee5879409dccef9,250,2,0.12318840579710143,0.16996205312562412,0.07820299500831947,0.0008103727714748784,0.07142857142857142,0.07820299500831947,0.0,0.0915448982140626,,0.0016025641025640806,80,10,60,62,1.0,1.0,-0.0467736473285227,0.09175905811730466,103.41848611831665,2433,0,0
9ee5879409dccef9,250,3,0.06825488852579982,0.16996205312562412,0.07820299500831947,0.0008103727714748784,0.07142857142857142,0.07820299500831947,0.0,0.0915448982140626,,0.0016025641025640806,68,12,48,62,1.0,1.0,-0.1017071645998243,0.09175905811730466,103.48622751235962,2263,0,0
9ee5879409dccef9,500,1,0.07385952208544533,0.16996205312562412,0.07820299500831947,0.0008103727714748784,0.07142857142857142,0.07820299500831947,0.0,0.0915448982140626,,0.0016025641025640806,50,4,46,125,1.0,1.0,-0.0961025310401788,0.09175905811730466,63.85114026069641,2727,0,0
9ee5879409dccef9,500,2,0.06825488852579982,0.16996205312562412,0.07820299500831947,0.0007575757575757576,0.9285714285714285,0.07820299500831947,0.0,0.0915448982140626,,0.0015139163852334909,70,16,56,125,1.0,1.0,-0.1017071645998243,0.09175905811730466,64.0187635421753,3019,0,0
9ee5879409dccef9,500,3,0.09673148531237069,0.2508565469983614,0.12642398286937903,0.0014184397163120568,0.07142857142857142,0.12642398286937903,0.12592278319898173,0.16158229969829016,,0.002781641168289253,52,10,43,125,1.0,1.0,-0.15412506168599072,0.12443256412898238,102.42195725440979,2758,0,0
9ee5879409dccef9,1000,1,0.06825488852579982,0.16996205312562412,0.1525917297612114,0.004201680672268907,0.07142857142857142,0.1525917297612114,0.1525917297612114,0.5294359818855491,,0.007936507936507832,61,18,63,250,1.0,1.0,-0.1017071645998243,0.017370323364412715,57.48510408401489,4229,0,0
9ee5879409dccef9,1000,2,0.1791713325867861,0.16996205312562412,0.09974236290025763,0.00133422281521014,0.2857142857142857,0.09974236290025763,0.09974236290025763,0.37525532535745515,,0.0026560424966799376,61,7,54,250,1.0,1.0,0.009209279461161984,0.07021969022536649,47.23470878601074,4101,0,0
9ee5879409dccef9,1000,3,0.49112021857923494,0.3151618398637138,0.40370471261236723,0.021739130434782608,0.07142857142857142,0.40370471261236723,0.3978580990629183,0.5140502060696884,,0.03333333333333297,47,9,45,250,1.0,1.0,0.1759583787155211,-0.08854287274865341,76.18537425994873,4064,0,0
