dataset,chunk_size,repeat_id,train_f1,val_f1,test_f1,precision,recall,point_f1,point_f1_fixed,point_f1pa,affiliation_f1,event_f1pa,rule_num_lines,rule_num_conditions,rule_num_thresholds,prompt_rows,avg_chunk_anomaly_density,max_chunk_anomaly_density,train_val_gap,val_test_gap,runtime_sec,token_count_detection,token_count_repair,token_count_review
88cf3a776ba00e7c,100,1,0.07547070717680733,0.10644894584539065,0.11104161655039693,0.030303030303030304,0.14285714285714285,0.11104161655039693,0.01747815230961298,0.6789587852494572,,0.04999999999999971,58,12,34,25,1.0,1.0,-0.03097823866858332,-0.004592670705006283,31.490788221359253,1755,0,0
88cf3a776ba00e7c,100,2,0.07547070717680733,0.10644894584539065,0.11104161655039693,0.002036659877800407,0.07142857142857142,0.11104161655039693,0.05669949268874963,0.5509034817100038,,0.003960396039603906,34,4,25,25,1.0,1.0,-0.03097823866858332,-0.004592670705006283,30.979124069213867,1562,0,0
88cf3a776ba00e7c,100,3,0.12594293210888816,0.10644894584539065,0.11104161655039693,0.013888888888888888,0.14285714285714285,0.11104161655039693,0.04543160020191823,0.6514047866805406,,0.025316455696202368,65,8,55,25,1.0,1.0,0.019493986263497506,-0.004592670705006283,68.19361567497253,1931,0,0
88cf3a776ba00e7c,250,1,0.07547070717680733,0.10644894584539065,0.11104161655039693,0.0014177693761814746,0.4285714285714285,0.11104161655039693,0.0,0.3055118110236217,,0.0028261893546867576,49,6,38,62,1.0,1.0,-0.03097823866858332,-0.004592670705006283,78.49710512161255,2086,0,0
88cf3a776ba00e7c,250,2,0.07547070717680733,0.20378027170702892,0.19596462133775566,0.003703703703703704,0.2857142857142857,0.19596462133775566,0.19596462133775566,0.5686777920410777,,0.007312614259597782,55,9,39,62,1.0,1.0,-0.12830956453022158,0.007815650369273258,42.686381578445435,2179,0,0
88cf3a776ba00e7c,250,3,0.07547070717680733,0.10644894584539065,0.14504249291784702,0.0034129692832764505,0.07142857142857142,0.14504249291784702,0.14504249291784702,0.608183079056865,,0.00651465798045594,60,5,46,62,1.0,1.0,-0.03097823866858332,-0.038593547072456366,92.67070984840393,2229,0,0
88cf3a776ba00e7c,500,1,0.07547070717680733,0.10644894584539065,0.11104161655039693,0.0014177693761814746,0.4285714285714285,0.11104161655039693,0.0,0.3055118110236217,,0.0028261893546867576,48,5,38,125,1.0,1.0,-0.03097823866858332,-0.004592670705006283,52.20917105674744,2711,0,0
88cf3a776ba00e7c,500,2,0.07547070717680733,0.23251231527093594,0.4011142061281337,0.003527336860670194,0.14285714285714285,0.4011142061281337,0.4011142061281337,0.5339019189765453,,0.006884681583476717,45,5,30,125,1.0,1.0,-0.1570416080941286,-0.16860189085719776,90.16147899627686,2694,0,0
88cf3a776ba00e7c,500,3,0.10433133101485932,0.10644894584539065,0.22313849138976474,0.024390243902439025,0.07142857142857142,0.22313849138976474,0.22313849138976474,0.7141693811074913,,0.03636363636363599,56,6,59,125,1.0,1.0,-0.002117614830531328,-0.1166895455443741,68.15847396850586,2908,0,0
88cf3a776ba00e7c,1000,1,0.07547070717680733,0.10644894584539065,0.11104161655039693,0.0014177693761814746,0.4285714285714285,0.11104161655039693,0.0,0.3055118110236217,,0.0028261893546867576,59,13,54,250,1.0,1.0,-0.03097823866858332,-0.004592670705006283,66.12628293037415,4160,0,0
88cf3a776ba00e7c,1000,2,0.07547070717680733,0.10644894584539065,0.11104161655039693,0.9999999999999989,0.07142857142857142,0.11104161655039693,0.025928108426635236,0.3584637268847792,,0.13333333333333316,71,17,58,250,1.0,1.0,-0.03097823866858332,-0.004592670705006283,57.85167169570923,4287,0,0
88cf3a776ba00e7c,1000,3,0.2000766577232656,0.10644894584539065,0.26553191489361705,0.00580046403712297,0.3571428571428571,0.26553191489361705,0.26553191489361705,0.6713237862382111,,0.011415525114155221,77,12,60,250,1.0,1.0,0.09362771187787496,-0.15908296904822639,162.88933420181274,4340,2342,0
88cf3a776ba00e7c,2500,1,0.13887993120498765,0.27257799671592775,0.18310482087571872,0.00546448087431694,0.07142857142857142,0.18310482087571872,0.18242556281771968,0.5609261939218518,,0.010152284263959258,65,8,45,625,0.7424,0.7424,-0.1336980655109401,0.08947317584020903,115.22672271728516,7837,0,0
88cf3a776ba00e7c,2500,2,0.07547070717680733,0.1969094922737307,0.11591213777456948,0.9999999999999989,0.07142857142857142,0.11591213777456948,0.11591213777456948,0.4151708164447014,,0.13333333333333316,55,9,41,625,0.7424,0.7424,-0.12143878509692337,0.08099735449916122,180.67348885536194,7822,0,0
88cf3a776ba00e7c,2500,3,0.19435312318700443,0.20173718128327264,0.26021180030257185,0.013089005235602094,0.3571428571428571,0.26021180030257185,0.26021180030257185,0.7775080906148861,,0.025252525252525186,77,11,66,625,0.7424,0.7424,-0.0073840580962682145,-0.05847461901929921,161.6142749786377,8157,0,0
88cf3a776ba00e7c,5000,1,0.5056947608200455,0.1482758620689655,0.47495779403489025,0.09210526315789473,0.49999999999999994,0.47495779403489025,0.47495779403489025,0.9114696903619707,,0.15555555555555528,53,8,50,1250,0.3712,0.3712,0.35741889875108,-0.32668193196592477,158.62302923202515,14192,0,0
88cf3a776ba00e7c,5000,2,0.5600907029478458,0.29517502365184484,0.6571661237785017,0.040983606557377046,0.3571428571428571,0.6571661237785017,0.580238726790451,0.8616211374832059,,0.07352941176470569,66,6,42,1250,0.3712,0.3712,0.26491567929600096,-0.36199110012665686,98.71983599662781,14226,0,0
88cf3a776ba00e7c,5000,3,0.6343042071197411,0.32722513089005234,0.7677725118483413,0.6666666666666665,0.14285714285714285,0.7677725118483413,0.7647331786542924,0.9234024545069821,,0.23529411764705851,74,12,56,1250,0.3712,0.3712,0.3070790762296888,-0.44054738095828894,227.43541359901428,14436,0,0
